Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2025-02-06,MD,North American Stainless,"Wrightsville, PA ",Christine ,P216210,make pickup appointment,"SPL 304L HRAP 3/16"" x 60"" x Coil","19,380lbs",2025-02-10,DLV,-,"$1,356.00",2025-02-25,Y,Y,Y
2025-02-06,UT,Ta Chen,"Pleasant Prairie, WI",Andrew,P216202,," SPL 304H HRAP NO PAPER 1/2"" x 96"" x 240"""," 6,932lbs",2025-02-11,Essence,Sarnia ON ,"$1,550.00",2025-02-20,Y,Y,Y
2025-01-22,MD,Amerinox,"Camden, NJ",Rick,C209293,,"SSH 316L 2B 4228 7ga x 48"" x 230""","26,290lbs",2025-02-11,Formule Transit,"Lansdowne, ON","$1,400.00",2025-02-28,Y,Y,Y
2025-01-31,UT,Amerinox,"Camden, NJ",Rick,C209318,,"SSH 304L 2B 4228 REF 7ga x 60"" x 120""/ 206"" ","18,130lbs",,,,,,Y,Y,Y
2025-01-30,AA,Polished Metals,"Hillside, NJ",Mark,P216149,," SSH 304 X 6 4228 REF 22ga x 48"" x 120""",509lbs,,,,,,Y,Y,Y
2025-01-31,SM,Yarde Metals,"Southington, CT",Candy,P216165,,"AIB 6061-T6 8"" x 4"" x 0.27"" x 25'",795lbs,2025-02-12,Essence - Pristine Line Haul,"Lacolle, QC",$950.00,2025-02-19,Y,Y,Y
2025-02-07,MD,Main Steel,"Harmony, PA",Mark,C209340,,"SSH 201LN 1/4 HARD PAPER .060 x 48 x 144""","33,260lbs",2025-02-13,Essence - Aaron Xpress Inc,"Lansdowne, ON","$1,750.00",2025-02-25,Y,Y,Y
2025-02-03,UT,Rolled Alloys,"Maumee, OH ",Linda,P216175,,"SPL 310S HRAP NO PAPER 1"" x 60"" x 120"" ","2,133lbs",2025-02-17,DLV,-,$895.00,2025-02-21,Y,Y,Y
2025-02-10,UT,Amerinox,"Camden, NJ",Rick,C209346,," SPL 304L HRAP NO PAPER 3/16"" x 48"" x 120""","18,140lbs",2025-02-18,Formule Transit,"Lansdowne, ON","$1,500.00",2025-02-28,Y,Y,Y
2025-02-07,BEN,Penn Stainless,"Quakertown, PA",Cathy,P216215  ,,"SSH 17-4 16ga 36"" x 120""",986lbs,,,,,,Y,Y,Y
2025-01-29,UT,Spectrum Metals,"Warminster, PA",Patrick,P216142,," SSH 304 2B NO PAPER 22ga x 5.635"" x Coil","9,000lbs",,,,,,Y,Y,Y
2025-02-07,UT,Amerinox,"Camden, NJ",Rick,C209336,," SSH 304L 2B 4228 REF 7ga x 60"" x 206"" ","21,180lbs",2025-02-19,Formule Transit,"Lacolle, QC","$1,400.00",2025-02-28,Y,Y,Y
2025-02-13,UT,Amerinox,"Camden, NJ",Rick,C209343,," SPL 304L HRAP NO PAPER 3/16"" x 72"" x 240""","17,870lbs",,,,,,Y,Y,Y
2025-02-13,MD,Ta Chen,"Burlington, NJ",Andrew,P216280,,"SSH 304L 2B PAPER 10ga x 72"" x 120""","5,444lbs",,,,,,Y,Y,Y
2025-02-13,PG,Mirror Metals,"Oxnard, CA",Eric Polk,P216281,," SSH 316L X10 4228 REF 14ga /16ga x 48"" x 120""",688lbs,2025-02-20,Essence - Polaris Transportation ,"Sarnia, ON ","$1,950.00",2025-03-04,Y,Y,Y
2025-02-12,CON,Materials Technology Solutions,"New Orleans, LA",Scott Ringle ,P216266 ,,"APL  x 48"" x 96",425lbs,2025-02-21,DVL,-,$950.00,2025-03-04,Y,Y,Y
2025-02-12,MD,Maryland Metals,"Sparrows Point, MD",Roxanne Riggen,P216238  ,make pickup appointment,"APL PAPER x 48"" x 96","29,400lbs",2025-02-25,Formule Transit,"Lansdowne, ON","$1,850.00",2025-02-27,Y,Y,Y
2025-01-24,UT,Amerinox,"Camden, NJ",Rick,C209299,," SPL 316L HRAP 1/4"" x 60"" x 120"" ","1,555lbs",2025-02-26,Alain Giroux,"Lacolle, QC","$1,400.00",2025-03-03,Y,Y,Y
2025-02-15,UT,Amerinox,"Camden, NJ",Rick,C209351,," SPL 304L 3/16"" x 60"" x 120""","18,990lbs",,,,,,Y,Y,Y
2025-02-20,UT,Amerinox,"Camden, NJ",Rick,C209354,," SSH 316L 2B 4228 REF 7ga x 60"" x 96"" / 120"" / 240""","20,710lbs",,,,,,Y,Y,Y
2025-02-18,SM,Ta Chen,"Burlington, NJ",Andrew,P216300,,"SCH 304 HRAP 6"" x 2.034"" x .314"" x 20'",452lbs,,,,,,Y,Y,Y
2025-02-20,UT,Ta Chen,"Burlington, NJ",Andrew,P216335,,"SCH 316L HRAP 1"" x 2"" x 1/4"" x 20'",64lbs,,,,,,Y,Y,Y
2025-02-25,UT,Kingmaker,"Somerset, NJ",Vera,P216354,Uta took care of this one ," STU 304 X4 2-1/4"" x .065"" x 20'",455lbs,,DLV,-, - ,,Y,Y,Y
2025-02-20,MD,Main Steel,"Elk Grove Village, IL",Shawn,C209327,,"SSH 201LN 1/4 .090 x 48 x 120""","29,505lbs",2025-03-03,Essence - Jaguar,"Fort Erie, ON ","$2,225.00",2025-03-17,Y,Y,Y
2025-02-24,UT,Main Steel,"Harmony, PA",`1,C209358,,"SSH 201LN 1/4 HARD PAPER .042 x 48 x 120""","26,450lbs",2025-03-04,Essence - Aaron Xpress ,"Fort Erie, ON ","$1,925.00",2025-03-17,Y,Y,Y
2025-02-21,UT,Amerinox,"Camden, NJ",Rick,C209363,,"SPL 316L HRAP NO PAPER 3/16"" x 60"" x 240""","16,985lbs",2025-03-06,Alain Giroux,"Lacolle, QC","$1,400.00",2025-03-10,Y,Y,Y
2025-01-31,UT,Amerinox,"Camden, NJ",Rick,C209361,,,"19,455lbs",,,,,,Y,Y,Y
2025-02-21,UT,Spectrum Metals,"Warminster, PA",Patrick,P216284,," SCL 304 2B 20ga x 4-3/4"" x Coil ","1,940lbs",,,,,,Y,Y,Y
2025-01-31,UT,Amerinox,"Camden, NJ",Rick,C209298,,316L #4 11ga x 60 x 144 / 120,"10,600lbs",2025-03-06,Formule Transit,"Lacolle, QC","$1,500.00",2025-03-10,Y,Y,Y
2025-02-21,UT,Amerinox,"Camden, NJ",Rick,C209362,,"SPL 316L HRAP NO PAPER 3/16"" x 48""x 240""","14,110lbs",,,,,,Y,Y,Y
2025-02-28,AA,Ta Chen,"Burlington, NJ",Andrew,P216387,,"SFB 304L HRAP 1"" x 6"" x 12""",274lbs,,,,,,Y,Y,Y
2025-02-21,PG,Ta Chen,"Burlington, NJ",Andrew,P216389  ,,"SCH 316L HRAP 1"" x 2"" x 1/4"" x 20'",156lbs,,,,,,Y,Y,Y
2025-02-25,UT,Stulz Sickles Steel Company,"Burlington, NJ",Shannon,P216356,," CPL X120Mn12 1/4"" x 48"" x 96"" ","2,940lbs",,,,,,Y,Y,Y
2025-01-15,UT,Amerinox,"Camden, NJ",Rick,C209289,,"SSH 316L X4 4228 REF 12ga x 60"" x 120""","14,310lbs",2025-03-10,Formule Transit,"Lacolle, QC","$1,300.00",2025-03-12,Y,Y,Y
2025-02-25,UT,Amerinox,"Camden, NJ",Rick,C209360,,"SPL 304L HRAP NO PAPER 1/4"" x 60"" x 170""","19,230lbs",,,,,,Y,Y,Y
2025-02-28,UT,Main Steel,"Harmony, PA",Mark,C209369 ,,"SSH 304L 2B PAPER 0.063"" x 60"" x 420""","20,852lbs ",2025-03-11,Formule Transit,"Fort Erie, ON ","$1,850.00",2025-03-18,Y,Y,Y
2025-03-03,UT,Main Steel,"Harmony, PA",Mark,C209374 ,," SSH 304L 2B NO PAPER 0.063"" x 48"" x 380""","8,108lbs ",,,,,,Y,Y,Y
2025-03-03,UT,Main Steel,"Harmony, PA",Mark,C209374 ,," SSH 304L 2B NO PAPER 0.063"" x 48"" x 380""","40,468lbs ",2025-03-11,Formule Transit,"Lansdowne, ON","$1,850.00",2025-03-14,Y,Y,Y
2025-03-10,CON,Materials Technology Solutions,"New Orleans, LA",Scott Ringle ,P216445,," APL 5086-H116 PAPER 0.25"" x 60"" x 184""",421lbs,2025-03-13,Essence  ,"Lansdowne, ON","$2,200.00",2025-03-26,Y,Y,Y
2025-02-03,MD,Main Steel,"Elk Grove Village, IL",Shawn,C209321,,"SSH 304L 2B PAPER 16ga x 72"" x 144""","10,524lbs",2025-03-13,Essence - Transport Simon Lessard,"Windsor, ON","$1,450.00",2025-03-27,Y,Y,Y
2025-02-03,UT,Amerinox,"Camden, NJ",Rick,C209297,,316L #4 11ga x 48 x 144 / 156 / 120,"16,000lbs",2025-03-14,Essence - Drivex,"Lansdowne, ON","$1,900.00",2025-03-20,Y,Y,Y
2025-02-20,UT,Amerinox,"Camden, NJ",Rick,C209365,,"SPL 304 X4 4228 REF 3/16"" x 60"" x 120""","7,940lbs",,,,,,Y,Y,Y
2025-03-06,MD,Main Steel,"Harmony, PA",Mark,C209375,,"SSH 201LN 1/4 HARD PAPER .042 x 48 x 120""","33,010lbs",2025-03-17,Essence - Jaguar,"Lansdowne, ON","$1,750.00",2025-03-20,Y,Y,Y
2025-03-03,UT,Amerinox,"Camden, NJ",Rick,C209364 ,non-polished part," SPL 316L HRAP  1/4"" x 60"" x 144""","8,285lbs",2025-03-18,Formule Transit,"Lansdowne, ON","$1,500.00",2025-03-21,Y,Y,Y
2025-03-08,UT,Amerinox,"Camden, NJ",Rick,C209367,,"SSH 316L 2B PAPER 11ga x 48"" x 240""","14,175lbs",,,,,,Y,Y,Y
2025-03-03,MD,Amerinox,"Camden, NJ",Rick,C209386 ,," SSH 304L 2B PAPER 18ga x 36"" x 120""","9,625lbs",,,,,,Y,Y,Y
2025-03-12,RWE,Ta Chen,"Burlington, NJ",Andrew,P216463 ,,"SCH 304L  4"" x 1-3/4"" x 1/4"" x 20'",242lbs,,,,,,Y,Y,Y
2025-03-11,RWE,Penn Stainless,"Quakertown, PA",Cathy,P216454 ,,"SRB 440C 3"" x 12-14'",626lbs,,,,,,Y,Y,Y
2025-02-10,MD,Amerinox,"Camden, NJ",Rick,C209359 ,,"SSH 316L 2B 4228 REF 7ga x 48"" x 251""","40,510lbs",2025-03-20,Formule Transit,"Lacolle, QC","$1,300.00",2025-03-25,Y,Y,Y
2025-03-07,MD,Main Steel,"Elk Grove Village, IL",Shawn,C209383 ,," SSH 201LN 1/4 HARD PAPER .156 x 48"" x 120""","34,100lbs",2025-03-24,Essence - BTM,"Windsor, ON","$2,225.00",2025-04-01,Y,Y,Y
2025-02-05,MD,Main Steel,"Elk Grove Village, IL",Shawn,C209330,,"SSH 201LN #80 1/4HARD 4228 .075 x 48"" x 120""","29,500lbs ",2025-03-25,Essence - Trans Inter F&M,"Sarnia, ON ","$2,225.00",2025-03-27,Y,Y,Y
2025-03-03,AA,Polished Metals,"Hillside, NJ",Austin,P216395,,"SSH 304 X 6 4228 16ga x 48"" x 96""","3,669lbs",2025-03-26,Formule Transit,"Lacolle, QC","$1,400.00",2025-03-31,Y,Y,Y
2025-03-05,UT,Polished Metals,"Hillside, NJ",Austin,P216412,,"SSH 304 X 6 4228 REF 22ga x 48"" x 96""",407lbs,,,,,,Y,Y,Y
2025-03-10,UT,Amerinox,"Camden, NJ",Rick,C209384,," SPL 304L X4 4228 REF 3/16"" x 60"" x 120""","20,057lbs",,,,,,Y,Y,Y
2025-03-03,UT,Amerinox,"Camden, NJ",Rick,C209364 ,polished part," SPL 316L HRAP  1/4"" x 60"" x 144""","2,080lbs",,,,,,Y,Y,Y
2025-03-03,UT,Amerinox,"Camden, NJ",Rick,C209289,last part,,"2,775lbs",,,,,,Y,Y,Y
2025-02-07,UT,Amerinox,"Camden, NJ",Rick,C209341,," SPL 304L X4 4228 REF 3/16"" x 60"" x 120""","19,380lbs",2025-03-26,Formule Transit,"Lacolle, QC.","$1,400.00",2025-03-28,Y,Y,Y
2025-03-20,UT,Kingmaker,"Somerset, NJ",Vera,P216528,," STU 304 WD 5/8"" x .049"" x 20'","1,800lbs",,,,,,Y,Y,Y
2025-03-25,MD,Leveltek,"Benwood, WV",Kelly,C209389,,"SSH 201LN #80 1/4HARD PAPER .125 x 48"" x 120""","32,460lbs",2025-03-27,Essence - Toiture JM Rodrique & Fils,"Lansdowne, ON","$1,850.00",2025-04-01,Y,Y,Y
2025-03-14,MD,Leveltek,"Benwood, WV",Kelly,C209387 ,,"SSH 301L 1/2 HARD PAPER .125 x 48"" x 190""","30,090lbs",2025-03-28,Essence - Trans Inter F&M,"Lansdowne, ON","$1,850.00",2025-04-10,Y,Y,Y
2025-03-24,UT,Amerinox,"Camden, NJ",Rick,C209407 ,," SPL 304L HRAP NO PAPER 3/16"" x 48"" x 96""","20,420lbs",2025-03-31,Formule Transit,"Lansdowne, ON","$1,300.00",2025-04-08,Y,Y,Y
2025-03-24,UT,Amerinox,"Camden, NJ",Rick,C209408,,"SPL 304L HRAP NO PAPER 3/16"" x 48"" x 120""","20,960lbs",,,,,,Y,Y,Y
2025-03-28,UT,Amerinox,"Camden, NJ",Rick,C209385,,"SSH 316L X4 4228 REF 11ga x 60"" x 120"" / 240""","14,360lbs",2025-04-02,Formule Transit,"Lacolle, QC.","$1,500.00",2025-04-08,Y,Y,Y
2025-03-31,UT,Kingmaker,"Somerset, NJ",Vera,P216564,,"STU 304L WD 1-1/4"" x .049"" x 20'",260lbs,,,,,,Y,Y,Y
2025-03-31,UT,Ta Chen,"Burlington, NJ",Andrew,P216575,,"SAB 316L HRAP 6"" x 6"" x 1/2"" x 20'",579lbs,,,,,,Y,Y,Y
2025-03-14,MD,Leveltek,"Benwood, WV",Kelly,C209390,,"SSH 201LN 1/4 HARD PAPER .090 x 48"" x 120""","23,500lbs",2025-04-03,Essence,,"$1,850.00",2025-04-08,Y,Y,Y
2025-03-14,SM,Rigidized Metals,"Buffalo, NY",Chris <ChrisSchiller@rigidized.com,P216365,,"SSH 304 .075 48"" x 144""",458lbs,2025-04-04,DLV,-,$700.00,2025-04-10,Y,Y,Y
2025-03-14,UT,Amerinox,"Camden, NJ",Rick,C209301,,"SSH 316L 2B 4228 REF 7ga x 48"" x 120""",940lbs,2025-04-07,DLV,-,$995.00,2025-04-14,Y,Y,Y
2025-03-14,UT,Amerinox,"Camden, NJ",Rick,C209359,,"SSH 316L 2B 4228 REF 7ga x 48"" x 181""","7,360lbs",,,,,,Y,Y,Y
2025-04-07,MD,Spectrum Metals,"Warminster, PA",Patrick,P216562 ,,Alum  x Coil,"1,000lbs",2025-05-01,DLV,-,$525.00,2025-04-22,Y,Y,Y
2025-04-09,UT,Polished Metals,"Hillside, NJ",Mark,P216627,," SSH 304 X8 4228 REF 16ga x 60"" x 120""","5,131lbs",2025-04-15,Formule Transit,"Lacolle, QC.","$1,500.00",2025-04-22,Y,Y,Y
2025-04-11,AA,Kingmaker,"Somerset, NJ",Vera,P216641,,"SST 304 X4 2"" x 1/4"" x 20'",120lbs,,,,,,Y,Y,Y
2025-04-10,UT,Independent Stainless ,"Egg Harbor, NJ",Dean Sharon,P216635,," SFB 304 S/E 1/4"" x 2"" x 12-14'","5,000lbs",,,,,,Y,Y,Y
2025-04-10,MD,Amerinox,"Camden, NJ",Rick,C209417,," SSH 201LN 2B PAPER .020 x 48"" x 96""","33,500lbs",2025-04-16,Essence,"Lansdowne, ON","$2,048.79",2025-04-21,Y,Y,Y
2025-04-10,UT,Amerinox,"Camden, NJ",Rick,C209422,price with P216402 they just didn’t pickuped up that day," SSH 316L 2B 4228 REF 7ga x 60"" x 240"" ","18,710lbs",2025-04-24,Formule Transit,"Lacolle, QC.","$1,400.00",,Y,Y,Y
2025-04-17,IXE,BC Fabrications Inc.,"New Berlinville, PA",Sharon Tallon ,W369270,INVOICE DELMAR," SSH 201LN 1/4 HARD PAPER .075 x 48"" x 120""","1,300lbs",2025-04-24,DLV,-,$700.00,2025-04-30,Y,Y,Y
2025-04-15,BEN,United Performance Metals,"Hamilton, OH",Rick Breslin ,P216652,," SSH 17-4PH PAPER .063 x 36"" x 120"" ","1,078lbs",2025-04-25,DLV,-,$730.00,,Y,Y,Y
2025-04-17,MD,Main Steel,"Harmony, PA",Mark,C209427,,"SSH 201LN 1/4 .030 x 48"" x 120""","13,270lbs",2025-04-29,Formule Transit,"Lansdowne, ON","$1,850.00",,Y,Y,Y
2025-04-17,MD,Main Steel,"Harmony, PA",Mark,C209436,,"SSH 201LN 1/4 .075 x 48"" x 120""","33,450lbs",,,,,,Y,Y,Y
2025-04-17,MD,Main Steel,"Harmony, PA",Mark,C209435,,"SSH 201LN 1/4 .050 x 48"" x 120""","34,810lbs",2025-04-29,Formule Transit,"Lacolle, QC.","$1,850.00",2025-04-30,Y,Y,Y
2025-04-20,UT,Amerinox,"Camden, NJ",Rick,C209442,,"144""","17,800lbs",2025-04-29,Formule Transit,"Lacolle, QC.","$1,400.00",2025-05-06,Y,Y,Y
2025-04-02,UT,Phoenix Tubes,"Bethlehem, PA",Illy,P216577,," SST 304 HRAP 4"" x 3/16"" x 94"" ","11,615lbs",,,,,,Y,Y,Y
2025-03-04,MD,Polished Metals,"Hillside, NJ",Mark,P216402,,"SSH 316L X8 4228  11ga x 60"" x 144""","8,928lbs",,,,,,Y,Y,Y
2025-04-11,MD,Leveltek,"Benwood, WV",Kelly,C209348 ,,,"29,240lbs",2025-04-28,Essence,"Lansdowne, ON","$1,850.00",2025-05-05,Y,Y,Y
2025-04-11,MD,Leveltek,"Benwood, WV",Kelly,C209349 ,,,"31,000lbs",2025-04-28,Essence,"Alexandria Bay, NY","$1,850.00",2025-05-01,Y,Y,Y
2025-04-17,UT,UNISERV ,"Brookfield, OH",Jeremiah Hill,C209322,,,"16,160lbs",2025-04-28,Formule Transit,"Lacolle, QC.","$1,650.00",,Y,Y,Y
2025-04-17,UT,UNISERV ,"Brookfield, OH",Jeremiah Hill,C209322,,,"15,830lbs",2025-04-29,Formule Transit,"Lacolle, QC.","$1,950.00",2025-05-01,Y,Y,Y
2025-04-17,UT,UNISERV ,"Brookfield, OH",Jeremiah Hill,C209322,,,"17,450lbs",,,,,,Y,Y,Y
2025-04-17,UT,Amerinox,"Camden, NJ",Rick,C209434,DO NOT COMBINE W TUBES," SSH 304L 2B 4228 REF 7ga x 60"" x 240""","20,240lbs",2025-04-29,Formule Transit,"Lacolle, QC","$1,400.00",2025-05-01,Y,Y,Y
2025-04-17,MD,Spectrum Metals,"Warminster, PA",Patrick,P216676,,"SSH 316L 2B 22ga x 5.394"" x Coil","1,624lbs",,,,,,Y,Y,Y
2025-04-17,AA,Spectrum Metals,"Warminster, PA",Patrick,P216633,,"SSH 316L 2B 22ga x 5.394"" x Coil","1,000lbs",,,,,,Y,Y,Y
2025-04-10,MD,Main Steel,"Harmony, PA",Mark,C209417,,"SSH 201LN 2B PAPER .020 x 48"" x 108""","33,363lbs",2025-04-30,Formule Transit,"Ogdensburg, NY","$1,850.00",2025-04-30,Y,Y,Y
2025-04-22,UT,Amerinox,"Camden, NJ",Rick,C209444,," SPL 304L HRAP NO PAPER 1/4"" x 48"" x 240"" /  96""","15,190lbs",2025-04-30,Formule Transit,"Lacolle, QC","$1,500.00",2025-05-06,Y,Y,Y
2025-04-17,UT,Amerinox,"Camden, NJ",Rick,C209429,," SSH 316L 2B 4228 REF 7ga x 60"" x 120""","16,980lbs",,,,,,Y,Y,Y
2025-04-23,UT,Kingmaker,"Somerset, NJ",Vera,P216695,," STU 304 HRAP 3"" x .065"" x 20'","4,884lbs",,,,,,Y,Y,Y
2025-04-15,UT,Polished Metals,"Hillside, NJ",Mark,P216653,," SSH 304 X 6 4228 REF 16ga /12ga / 22ga x 48"" x 96"""," 4,383lbs",,,,,,Y,Y,Y
2025-04-17,MD,Leveltek,"Benwood, WV",Kelly,C209438,,"SSH 201LN 1/4 HARD PAPER .125 x 48"" x 120""","31,470lbs ",2025-05-01,Essence,"Alexandria Bay, NY","$1,850.00",2025-05-07,Y,Y,Y
2025-04-25,MD,Leveltek,"Benwood, WV",Kelly,C209438,,"SSH 201LN 1/4 HARD PAPER .125 x 48"" x 120""","30,790lbs ",2025-05-01,Essence,"Lansdowne, ON","$1,850.00",,Y,Y,Y
2025-04-21,UT,Ta Chen,"Pleasant Prairie, WI",Andrew,P216679,," SRB 316L CD 5/32"" x 12' ",121lbs,2025-05-01,DLV,-,$695.00,2025-05-07,Y,Y,Y
2025-04-28,UT,Amerinox,"Camden, NJ",Rick,C209452,," SPL 304L HRAP NO PAPER 1/4"" x 60"" x 144""","19,200lbs",2025-05-06,Formule Transit,"Champlain, NY","$1,500.00",,Y,Y,Y
2025-04-28,UT,Amerinox,"Camden, NJ",Rick,C209457,," SPL 304L HRAP NO PAPER 3/16"" x 60"" x 96""","17,510lbs",,,,,,Y,Y,Y
2025-04-30,UT,Ta Chen,"Burlington, NJ",Andrew,P216742,,"SAB 304L HRAP 5"" x 3"" x 3/8"" x 20-22'",196lbs,,,,,,Y,Y,Y
2025-04-28,UT,Independent Stainless ,"Egg Harbor, NJ",Dean Sharon,P216724,," SFB 304L S/E 1/2"" x 2-1/4"" x 9.8217'","3,762lbs",,,,,,Y,Y,Y
2025-03-18,MD,Main Steel,"Harmony, PA",Mark,C209396,,"SSH 201LN 1/4 .050 x 48"" x 96""","27,260lbs",2025-05-08,,,"$1,850.00",,Y,Y,
,,,,,,,,,,,,,,,,
2025-04-15,UT,Polished Metals,"Hillside, NJ",Mark,P216715,," SSH 304 X8 4228 REF 16ga x 60"" x 120""",,,,,,,,,
,,,,,,,,,,,,,,,,
2025-05-07,MD,Ta Chen,"Burlington, NJ",Andrew,P216777,,"SCH 304 4"" X 1.5"" X .184"" X 20-22",400lbs,2025-05-12,,,,,,,
,,,,,,,,,,,,,,,,
2025-05-05,UT,Materials Technology Solutions,"Bensalem, PA ",Sahar,P216762,READY,"APL 5083-H321 0.25"" x 48"" x 144""",166lbs,,,,,,,,
2025-04-17,UT,Amerinox,"Camden, NJ",Rick,C209430,READY," SSH 316L X4 4228 REF 14ga x 48"" x 120"" /  X4 4228 REF 14ga x 48"" x 96""","19,520lbs",2025-04-25,,,,,,,
2025-04-21,UT,Amerinox,"Camden, NJ",Rick,C209443,READY,"SSH 316L 2B PAPER 10ga x 48"" x 240""","20,000lbs",,,,,,,,
,,,,,,,,,,,,,,,,
2025-01-20,PG,Combined Metals of Chicago,"Bellwood, IL",Manny,C209292,,"SSH 304 BA PAPER 22ga x 48"" x Coil","20,000lbs",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,REQUEST STL#,rendezvous@danaca.com,,REQUEST Pick-up appointment,,,,,,,,,
